iter	MultiClass
0	0.7604077676
1	0.7337991167
2	0.7066550085
3	0.6853445776
4	0.6769897483
5	0.6541720194
6	0.6173027334
7	0.6003660874
8	0.5890082969
9	0.5786467572
10	0.5615133003
11	0.5441555615
12	0.5284359086
13	0.5160405654
14	0.5095108234
15	0.5017682488
16	0.4850788255
17	0.4832013782
18	0.4726184913
19	0.4669237155
20	0.4576159219
21	0.4499504912
22	0.4356453847
23	0.4248887519
24	0.411291348
25	0.4057529437
26	0.3979581395
27	0.3863917089
28	0.3816371319
29	0.3737017385
30	0.3695057434
31	0.3630462433
32	0.3575967053
33	0.352608554
34	0.3488465918
35	0.3368022069
36	0.3338055559
37	0.328284286
38	0.3234009164
39	0.3187371585
40	0.3145036147
41	0.3101220316
42	0.3043423734
43	0.3030570606
44	0.2999248508
45	0.2935615988
46	0.2896169414
47	0.2827027951
48	0.27816394
49	0.2738684606
50	0.266651716
51	0.2652075476
52	0.263283379
53	0.2618056736
54	0.2603881027
55	0.2582852631
56	0.2568936186
57	0.2555109215
58	0.2537199485
59	0.2510405881
60	0.2427623514
61	0.2406019623
62	0.2336369855
63	0.230117976
64	0.2279532716
65	0.2229145187
66	0.2199253899
67	0.2149985299
68	0.212512683
69	0.2095662422
70	0.204732741
71	0.2025428605
72	0.1990971803
73	0.1968261621
74	0.1943353928
75	0.1905526724
76	0.1876812854
77	0.1838420487
78	0.1828746762
79	0.1812913476
80	0.1805314432
81	0.1772820145
82	0.175291107
83	0.1738433249
84	0.1723461
85	0.1681832735
86	0.1666927522
87	0.1631414401
88	0.1609497831
89	0.1566319603
90	0.1549619741
91	0.1537178575
92	0.1524985382
93	0.1514628611
94	0.1466914771
95	0.1445875408
96	0.141301403
97	0.1406377153
98	0.1392584332
99	0.137622279
100	0.1371562657
101	0.1363435887
102	0.1358715904
103	0.1352508087
104	0.1345258691
105	0.1311997121
106	0.1306467868
107	0.127664129
108	0.1265859125
109	0.1242725191
110	0.1231421344
111	0.1209662738
112	0.1195124987
113	0.1187663304
114	0.1179012068
115	0.1165340078
116	0.1159624994
117	0.1156464699
118	0.1140637339
119	0.1122526511
120	0.1116868803
121	0.1112402592
122	0.1109867847
123	0.1098086191
124	0.1092648229
125	0.1084642297
126	0.1081675191
127	0.1070556147
128	0.1067677163
129	0.1054975044
130	0.1038418852
131	0.102841954
132	0.1024219852
133	0.1018257475
134	0.1014329304
135	0.1003619643
136	0.09814184712
137	0.09787634178
138	0.097453742
139	0.09716338322
140	0.0969028111
141	0.09626407326
142	0.09574389969
143	0.09527870258
144	0.0946516622
145	0.09334277713
146	0.0916732723
147	0.09101249048
148	0.09016123811
149	0.08992970486
150	0.08963065156
151	0.08937198517
152	0.08900626465
153	0.0883086381
154	0.08792271133
155	0.08579519997
156	0.0854322052
157	0.08509348158
158	0.08381326149
159	0.08310790445
160	0.08162957086
161	0.08079029805
162	0.0798582713
163	0.07960569131
164	0.07944649958
165	0.07905284244
166	0.07778484882
167	0.07694802119
168	0.07648408044
169	0.07640526849
170	0.07576843297
171	0.07539312507
172	0.07501044357
173	0.0746462533
174	0.07422754552
175	0.07381768649
176	0.07332418131
177	0.07278043216
178	0.07265167117
179	0.07237504492
180	0.07214680524
181	0.07170882015
182	0.07148885413
183	0.07134337699
184	0.0708820541
185	0.07071131109
186	0.07017686719
187	0.06961807948
188	0.06936021406
189	0.06921032775
