iter	Passed	Remaining
0	12	4975
1	23	4650
2	34	4566
3	44	4409
4	54	4307
5	64	4224
6	74	4157
7	84	4130
8	95	4134
9	105	4102
10	115	4068
11	124	4035
12	134	4007
13	144	3992
14	154	3970
15	165	3960
16	175	3951
17	185	3933
18	195	3916
19	205	3911
20	237	4280
21	255	4394
22	266	4373
23	277	4339
24	286	4304
25	296	4271
26	307	4251
27	317	4220
28	327	4187
29	337	4160
30	347	4133
31	357	4116
32	367	4092
33	377	4066
34	387	4044
35	397	4024
36	408	4006
37	417	3980
38	427	3960
39	439	3951
40	449	3940
41	462	3938
42	487	4044
43	502	4066
44	517	4081
45	531	4086
46	542	4074
47	555	4072
48	565	4048
49	575	4025
50	584	4001
51	594	3981
52	604	3960
53	615	3941
54	625	3920
55	634	3900
56	644	3880
57	655	3865
58	666	3850
59	677	3840
60	687	3821
61	697	3803
62	708	3788
63	729	3830
64	745	3841
65	756	3830
66	766	3810
67	776	3791
68	786	3770
69	795	3752
70	806	3735
71	817	3722
72	826	3704
73	836	3686
74	846	3668
75	856	3652
76	866	3636
77	876	3619
78	888	3609
79	900	3600
80	910	3586
81	920	3570
82	930	3554
83	940	3537
84	949	3520
85	959	3504
86	969	3488
87	979	3472
88	989	3457
89	999	3443
90	1011	3435
91	1023	3427
92	1035	3416
93	1046	3407
94	1059	3400
95	1071	3391
96	1082	3381
97	1093	3370
98	1105	3361
99	1115	3347
100	1125	3332
101	1135	3317
102	1146	3306
103	1157	3293
104	1167	3279
105	1177	3265
106	1187	3250
107	1196	3235
108	1206	3221
109	1216	3207
110	1227	3196
111	1237	3181
112	1247	3167
113	1256	3152
114	1266	3139
115	1276	3125
116	1286	3111
117	1296	3098
118	1306	3086
119	1319	3077
120	1330	3068
121	1341	3056
122	1351	3043
123	1362	3032
124	1372	3020
125	1382	3007
126	1393	2994
127	1402	2981
128	1412	2967
129	1422	2954
130	1434	2945
131	1444	2932
132	1454	2919
133	1463	2905
134	1473	2892
135	1483	2880
136	1497	2874
137	1508	2863
